"u","v","w","vtkValidPointMask","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2","Time"
-1.9587e-13,0,0,1,2,0.2,3.1225e-17,0.88801
-2.0165e-13,0,0,1,2,0.2,3.1225e-17,0.89257
-2.0757e-13,0,0,1,2,0.2,3.1225e-17,0.89712
-2.1138e-13,0,0,1,2,0.2,3.1225e-17,0.9
-2.1358e-13,0,0,1,2,0.2,3.1225e-17,0.90164
-2.1979e-13,0,0,1,2,0.2,3.1225e-17,0.9062
-2.2614e-13,0,0,1,2,0.2,3.1225e-17,0.91075
-2.3263e-13,0,0,1,2,0.2,3.1225e-17,0.91531
-2.3927e-13,0,0,1,2,0.2,3.1225e-17,0.91986
-2.4606e-13,0,0,1,2,0.2,3.1225e-17,0.92442
-2.5301e-13,0,0,1,2,0.2,3.1225e-17,0.92897
-2.601e-13,0,0,1,2,0.2,3.1225e-17,0.93353
-2.6734e-13,0,0,1,2,0.2,3.1225e-17,0.93808
-2.7474e-13,0,0,1,2,0.2,3.1225e-17,0.94264
-2.8229e-13,0,0,1,2,0.2,3.1225e-17,0.9472
-2.9e-13,0,0,1,2,0.2,3.1225e-17,0.95175
-2.9786e-13,0,0,1,2,0.2,3.1225e-17,0.95631
-3.0589e-13,0,0,1,2,0.2,3.1225e-17,0.96086
-3.1407e-13,0,0,1,2,0.2,3.1225e-17,0.96542
-3.2241e-13,0,0,1,2,0.2,3.1225e-17,0.96997
-3.3091e-13,0,0,1,2,0.2,3.1225e-17,0.97453
-3.3957e-13,0,0,1,2,0.2,3.1225e-17,0.97908
-3.4839e-13,0,0,1,2,0.2,3.1225e-17,0.98364
-3.5738e-13,0,0,1,2,0.2,3.1225e-17,0.9882
-3.6653e-13,0,0,1,2,0.2,3.1225e-17,0.99275
-3.7585e-13,0,0,1,2,0.2,3.1225e-17,0.99731
-3.8144e-13,0,0,1,2,0.2,3.1225e-17,1
-3.8525e-13,0,0,1,2,0.2,3.1225e-17,1.0018
-3.9489e-13,0,0,1,2,0.2,3.1225e-17,1.0064
-4.0471e-13,0,0,1,2,0.2,3.1225e-17,1.0109
-4.1469e-13,0,0,1,2,0.2,3.1225e-17,1.0155
-4.2483e-13,0,0,1,2,0.2,3.1225e-17,1.02
-4.3515e-13,0,0,1,2,0.2,3.1225e-17,1.0246
-4.4564e-13,0,0,1,2,0.2,3.1225e-17,1.0292
-4.5629e-13,0,0,1,2,0.2,3.1225e-17,1.0337
-4.6711e-13,0,0,1,2,0.2,3.1225e-17,1.0383
-4.7811e-13,0,0,1,2,0.2,3.1225e-17,1.0428
-4.8927e-13,0,0,1,2,0.2,3.1225e-17,1.0474
-5.0061e-13,0,0,1,2,0.2,3.1225e-17,1.0519
-5.1211e-13,0,0,1,2,0.2,3.1225e-17,1.0565
-5.2379e-13,0,0,1,2,0.2,3.1225e-17,1.061
-5.3564e-13,0,0,1,2,0.2,3.1225e-17,1.0656
-5.4766e-13,0,0,1,2,0.2,3.1225e-17,1.0702
-5.5985e-13,0,0,1,2,0.2,3.1225e-17,1.0747
-5.7222e-13,0,0,1,2,0.2,3.1225e-17,1.0793
-5.8476e-13,0,0,1,2,0.2,3.1225e-17,1.0838
-5.9746e-13,0,0,1,2,0.2,3.1225e-17,1.0884
-6.1035e-13,0,0,1,2,0.2,3.1225e-17,1.0929
-6.234e-13,0,0,1,2,0.2,3.1225e-17,1.0975
-6.3067e-13,0,0,1,2,0.2,3.1225e-17,1.1
-6.3651e-13,0,0,1,2,0.2,3.1225e-17,1.102
-6.499e-13,0,0,1,2,0.2,3.1225e-17,1.1066
-6.6347e-13,0,0,1,2,0.2,3.1225e-17,1.1111
-6.7721e-13,0,0,1,2,0.2,3.1225e-17,1.1157
-6.9113e-13,0,0,1,2,0.2,3.1225e-17,1.1202
-7.0521e-13,0,0,1,2,0.2,3.1225e-17,1.1248
-7.1947e-13,0,0,1,2,0.2,3.1225e-17,1.1293
-7.3389e-13,0,0,1,2,0.2,3.1225e-17,1.1339
-7.4849e-13,0,0,1,2,0.2,3.1225e-17,1.1384
-7.6326e-13,0,0,1,2,0.2,3.1225e-17,1.143
-7.782e-13,0,0,1,2,0.2,3.1225e-17,1.1476
-7.9331e-13,0,0,1,2,0.2,3.1225e-17,1.1521
-8.0859e-13,0,0,1,2,0.2,3.1225e-17,1.1567
-8.2403e-13,0,0,1,2,0.2,3.1225e-17,1.1612
-8.3965e-13,0,0,1,2,0.2,3.1225e-17,1.1658
-8.5544e-13,0,0,1,2,0.2,3.1225e-17,1.1703
-8.7139e-13,0,0,1,2,0.2,3.1225e-17,1.1749
-8.8751e-13,0,0,1,2,0.2,3.1225e-17,1.1794
-9.038e-13,0,0,1,2,0.2,3.1225e-17,1.184
-9.2026e-13,0,0,1,2,0.2,3.1225e-17,1.1886
-9.3688e-13,0,0,1,2,0.2,3.1225e-17,1.1931
-9.5367e-13,0,0,1,2,0.2,3.1225e-17,1.1977
-9.6231e-13,0,0,1,2,0.2,3.1225e-17,1.2
-9.7047e-13,0,0,1,2,0.2,3.1225e-17,1.2022
-9.8758e-13,0,0,1,2,0.2,3.1225e-17,1.2067
-1.0049e-12,0,0,1,2,0.2,3.1225e-17,1.2113
-1.0223e-12,0,0,1,2,0.2,3.1225e-17,1.2159
-1.0399e-12,0,0,1,2,0.2,3.1225e-17,1.2204
-1.0577e-12,0,0,1,2,0.2,3.1225e-17,1.225
-1.0756e-12,0,0,1,2,0.2,3.1225e-17,1.2295
-1.0937e-12,0,0,1,2,0.2,3.1225e-17,1.2341
-1.1119e-12,0,0,1,2,0.2,3.1225e-17,1.2386
-1.1303e-12,0,0,1,2,0.2,3.1225e-17,1.2432
-1.1489e-12,0,0,1,2,0.2,3.1225e-17,1.2477
-1.1676e-12,0,0,1,2,0.2,3.1225e-17,1.2523
-1.1865e-12,0,0,1,2,0.2,3.1225e-17,1.2569
-1.2055e-12,0,0,1,2,0.2,3.1225e-17,1.2614
-1.2247e-12,0,0,1,2,0.2,3.1225e-17,1.266
-1.2441e-12,0,0,1,2,0.2,3.1225e-17,1.2705
